escalation_id,ticket_id,escalated_on,to_team,reason
1,1,2023-10-18 04:07:36.056122,platform,security question
2,4,2024-12-17 09:17:49.547595,billing,requires engineering
3,9,2024-07-15 00:17:58.041621,security,billing dispute
4,17,2024-08-08 12:44:09.762980,security,billing dispute
5,24,2024-02-03 11:10:26.616312,data,SLA breach risk
6,50,2024-01-04 01:22:24.382550,data,SLA breach risk
7,58,2023-08-16 21:46:58.391195,security,security question
8,77,2024-07-17 04:13:04.833646,billing,security question
9,89,2024-06-09 12:29:14.504910,platform,requires engineering
10,142,2023-08-08 18:06:14.042145,security,security question
11,169,2024-03-06 15:13:29.707420,data,requires engineering
12,194,2024-04-29 05:20:38.398969,security,requires engineering
13,319,2023-09-03 10:41:31.239109,security,billing dispute
14,347,2024-03-19 10:46:12.439880,platform,SLA breach risk
15,384,2024-09-15 02:19:35.086152,security,billing dispute
16,393,2024-05-25 03:38:15.821052,billing,requires engineering
17,415,2024-10-04 02:44:14.822319,security,SLA breach risk
18,420,2024-10-09 23:32:22.146949,security,SLA breach risk
19,465,2023-12-13 02:54:58.093841,platform,security question
20,501,2024-07-28 14:31:21.465799,billing,security question
21,508,2024-10-08 06:44:09.835319,security,billing dispute
22,509,2024-07-04 19:49:51.599494,security,SLA breach risk
23,514,2024-07-11 15:59:41.495171,platform,SLA breach risk
24,531,2024-04-12 09:16:47.070816,data,requires engineering
25,588,2024-10-09 08:14:08.297292,platform,requires engineering
26,623,2024-05-13 19:03:41.135375,billing,requires engineering
27,640,2024-11-18 04:49:47.137396,security,SLA breach risk
28,666,2024-08-29 08:52:05.268154,security,SLA breach risk
29,679,2024-02-06 17:25:54.462934,data,security question
30,734,2024-11-28 17:30:27.438847,security,security question
31,737,2024-03-19 16:44:47.811604,data,billing dispute
32,758,2024-12-23 00:30:43.817620,billing,requires engineering
33,768,2023-12-24 05:36:55.907263,data,SLA breach risk
34,782,2024-07-17 19:49:36.803491,billing,requires engineering
35,785,2023-11-22 16:14:34.617059,data,security question
36,839,2024-11-13 22:08:58.670894,data,billing dispute
37,841,2024-03-15 12:14:53.216019,platform,requires engineering
38,851,2024-12-05 06:46:13.219177,platform,requires engineering
39,883,2024-11-07 01:16:26.535024,billing,security question
40,909,2024-01-29 09:57:40.406848,platform,billing dispute
41,915,2024-01-02 18:26:04.480262,platform,billing dispute
42,957,2023-10-14 17:05:50.109550,platform,requires engineering
43,958,2023-12-06 10:06:47.691804,security,security question
44,1044,2024-06-08 09:58:04.915278,billing,SLA breach risk
45,1054,2024-12-05 04:41:29.843008,data,security question
46,1080,2023-12-15 20:45:29.390588,billing,security question
47,1108,2024-08-25 17:44:14.938519,data,requires engineering
48,1147,2024-07-23 20:53:48.635382,billing,billing dispute
49,1153,2024-03-22 15:45:14.247452,data,SLA breach risk
50,1202,2024-10-12 22:43:37.838301,platform,requires engineering
51,1247,2024-12-11 03:30:12.440175,platform,security question
52,1267,2024-11-26 09:17:40.018829,data,SLA breach risk
53,1268,2024-05-28 13:13:54.363309,billing,billing dispute
54,1269,2023-09-22 10:14:51.720433,billing,billing dispute
55,1277,2024-08-19 22:29:36.214044,security,billing dispute
56,1285,2023-09-22 02:08:18.398643,security,billing dispute
57,1318,2023-07-27 12:13:48.988758,platform,security question
58,1338,2024-10-22 21:36:59.048848,platform,requires engineering
59,1417,2024-10-27 12:27:11.247165,security,billing dispute
60,1429,2024-10-14 20:14:51.428600,billing,SLA breach risk
61,1439,2024-05-09 14:06:55.249400,billing,SLA breach risk
