escalation_id,ticket_id,escalated_on,to_team,reason
1,8,2024-01-14 12:49:24.145061,security,billing dispute
2,19,2024-04-09 03:17:47.391450,platform,requires engineering
3,64,2024-01-27 21:05:16.035309,data,SLA breach risk
4,98,2024-10-23 04:59:23.637072,data,security question
5,112,2023-12-29 18:12:14.573567,security,billing dispute
6,121,2024-06-02 13:47:27.378053,billing,requires engineering
7,170,2023-09-02 14:00:34.503465,billing,billing dispute
8,172,2024-12-10 14:34:09.868351,security,security question
9,183,2024-01-12 06:24:41.321290,billing,SLA breach risk
10,210,2023-07-29 08:42:42.212656,data,security question
11,218,2023-09-12 06:16:32.781659,platform,billing dispute
12,291,2024-08-04 01:56:01.873112,data,requires engineering
13,298,2024-03-25 07:04:16.472819,security,security question
14,299,2024-09-17 12:01:11.610196,platform,billing dispute
15,309,2024-05-09 00:25:33.325364,platform,security question
16,431,2024-12-02 03:55:41.070068,billing,billing dispute
17,483,2024-07-12 03:30:13.536651,platform,SLA breach risk
18,536,2023-08-25 12:06:37.065070,security,requires engineering
19,594,2023-11-02 15:18:23.540937,platform,SLA breach risk
20,633,2023-09-26 01:33:13.161366,billing,security question
21,707,2024-04-27 02:57:23.978220,billing,billing dispute
22,812,2023-12-28 21:36:50.482112,security,billing dispute
23,831,2024-01-24 02:31:18.529482,security,requires engineering
24,840,2024-07-07 05:08:59.278478,billing,requires engineering
25,885,2024-05-14 19:50:58.881957,data,security question
26,920,2024-08-23 11:58:09.745730,platform,billing dispute
27,948,2024-10-29 09:35:02.823899,security,security question
28,950,2024-04-17 05:33:06.924197,billing,requires engineering
29,952,2024-12-15 02:11:13.179121,data,requires engineering
30,986,2024-04-25 19:29:11.692786,security,billing dispute
31,988,2023-10-01 21:50:19.220626,security,SLA breach risk
32,1041,2024-10-14 11:08:01.558046,billing,requires engineering
33,1082,2024-02-19 09:09:45.247033,platform,security question
34,1109,2023-12-24 11:10:11.858066,security,billing dispute
35,1127,2024-01-20 14:25:17.555300,billing,SLA breach risk
36,1180,2023-08-24 19:31:30.283694,security,security question
37,1215,2024-12-05 01:17:27.352788,billing,security question
