expense_id,incurred_on,department,category,amount,description
1,2024-10-04,Marketing,cloud,3053.7,laptop
2,2023-11-26,Product,training,3762.56,team offsite
3,2023-07-20,Finance,travel,2072.84,job board
4,2024-01-28,Finance,travel,3068.57,conference travel
5,2024-02-17,Sales,cloud,3564.37,laptop
6,2024-09-01,Operations,cloud,3073.02,cloud overage
7,2024-06-16,People,software,1911.63,conference travel
8,2023-08-31,Product,recruiting,566.14,laptop
9,2024-04-25,Marketing,software,3467.2,training course
10,2024-03-24,Sales,cloud,787.74,conference travel
11,2023-10-01,Engineering,recruiting,361.58,conference travel
12,2024-06-23,Sales,recruiting,1249.69,team offsite
13,2024-04-14,Operations,cloud,2228.03,conference travel
14,2024-04-27,Operations,events,2655.93,conference travel
15,2024-05-19,Sales,cloud,3336.91,training course
16,2024-12-08,Marketing,recruiting,2315.32,team offsite
17,2024-01-27,Sales,training,150.11,cloud overage
18,2023-10-25,Product,recruiting,1001.72,laptop
19,2024-01-08,Sales,training,3291.72,client dinner
20,2023-09-13,Operations,training,1991.97,client dinner
21,2024-12-19,People,office,3444.63,training course
22,2024-12-26,Product,training,3774.49,laptop
23,2023-11-09,Marketing,office,1126.62,team offsite
24,2024-09-30,Marketing,training,3987.56,conference travel
25,2023-09-25,Support,software,3486.43,job board
26,2023-11-03,People,travel,1950.4,training course
27,2023-09-14,People,cloud,1852.98,training course
28,2023-10-09,Marketing,events,1024.19,team offsite
29,2023-12-09,Product,cloud,1384.33,cloud overage
30,2024-11-11,Marketing,recruiting,1870.42,laptop
31,2023-11-01,Product,events,3852.5,laptop
32,2023-12-11,Finance,software,3713.62,cloud overage
33,2024-11-07,Operations,recruiting,3291.02,laptop
34,2023-12-13,Operations,software,1892.25,job board
35,2024-10-06,People,events,1065.31,laptop
36,2024-09-11,Support,office,1985.91,training course
37,2024-08-02,People,cloud,2693.52,training course
38,2024-09-14,Sales,cloud,2115.78,laptop
39,2024-07-10,Support,travel,3767.04,job board
40,2024-11-05,Operations,office,2903.47,laptop
41,2024-10-16,Sales,recruiting,3723.68,training course
42,2023-12-26,People,recruiting,1220.64,cloud overage
43,2024-01-11,Sales,travel,1692.26,laptop
44,2024-05-12,Product,cloud,2043.68,team offsite
45,2024-01-07,Finance,events,2087.42,job board
46,2023-10-17,People,travel,1076.33,client dinner
47,2024-10-29,Support,events,1711.16,conference travel
48,2024-12-25,Product,cloud,3305.58,client dinner
49,2024-12-01,Operations,events,117.82,cloud overage
